corridor_encoded,event_cause_encoded,vehicle_type_encoded,police_station_encoded,zone_encoded,hour_of_day,day_of_week,month,hour_sin,hour_cos,dow_sin,dow_cos,is_rush_hour,is_high_priority_corridor,is_non_corridor,has_vehicle_type,has_zone,corridor_events_4h,corridor_events_24h,y_closure,y_priority,y_duration,y_severity,id,corridor,event_cause,is_stale_active,start_datetime
11,14,3,51,1,1,4,11,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0,0,1,1,1,3,6,0,0,,0,FKID005774,Non-corridor,vehicle_breakdown,0,2023-11-10 01:42:30.011000+00:00
11,11,0,50,2,2,4,11,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,1,0,1,4,7,0,0,,0,FKID004401,Non-corridor,road_conditions,0,2023-11-10 02:16:04.710000+00:00
10,14,5,6,9,3,4,11,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0,1,0,1,1,1,2,0,1,59.16374196666666,0,FKID005775,Mysore Road,vehicle_breakdown,0,2023-11-10 03:13:04.389000+00:00
11,2,0,11,1,3,4,11,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0,0,1,0,1,2,8,0,0,,0,FKID005777,Non-corridor,accident,0,2023-11-10 03:14:19.546000+00:00
19,14,8,39,8,3,4,11,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0,1,0,1,1,2,3,0,1,18.19665601666667,0,FKID005778,Tumkur Road,vehicle_breakdown,0,2023-11-10 03:21:00.257000+00:00
2,14,5,32,5,3,4,11,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0,1,0,1,1,0,1,0,1,82.52175041666666,0,FKID005199,Bellary Road 1,vehicle_breakdown,0,2023-11-10 03:34:33.419000+00:00
19,14,5,39,8,3,4,11,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0,1,0,1,1,3,4,0,1,52.713643133333335,0,FKID005779,Tumkur Road,vehicle_breakdown,0,2023-11-10 03:36:34.159000+00:00
3,2,0,32,4,5,4,11,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0,1,0,0,1,0,0,0,1,,0,FKID005780,Bellary Road 2,accident,0,2023-11-10 05:34:31.666000+00:00
11,14,10,24,6,6,4,11,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,0,1,1,1,2,9,0,0,119.25386498333334,0,FKID005781,Non-corridor,vehicle_breakdown,0,2023-11-10 06:05:28.736000+00:00
6,14,2,19,4,6,4,11,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,0,0,1,1,0,0,0,1,,0,FKID005200,Hennur Main Road,vehicle_breakdown,0,2023-11-10 06:06:31.253000+00:00
11,0,0,51,1,6,4,11,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,0,1,0,1,2,10,0,0,,0,FKID005782,Non-corridor,Debris,0,2023-11-10 06:42:32.617000+00:00
11,14,2,35,2,7,4,11,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1,0,1,1,1,2,11,0,0,45.65551266666667,0,FKID004410,Non-corridor,vehicle_breakdown,0,2023-11-10 07:33:05.108000+00:00
1,7,0,21,6,7,4,11,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1,0,0,0,1,0,0,0,1,,0,FKID004406,Bannerghata Road,pot_holes,0,2023-11-10 07:33:31.549000+00:00
11,14,8,36,9,7,4,11,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1,0,1,1,1,3,12,0,0,,0,FKID005783,Non-corridor,vehicle_breakdown,0,2023-11-10 07:35:25.308000+00:00
19,14,7,53,8,7,4,11,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1,1,0,1,1,0,5,0,1,,0,FKID005785,Tumkur Road,vehicle_breakdown,0,2023-11-10 07:46:54.764000+00:00
11,14,10,13,10,8,4,11,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,1,0,1,1,0,4,13,0,0,22.12320453333333,0,FKID005786,Non-corridor,vehicle_breakdown,0,2023-11-10 08:43:53.240000+00:00
11,6,0,22,6,9,4,11,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,1,0,1,0,1,5,14,0,0,2735.974906883333,0,FKID005787,Non-corridor,others,0,2023-11-10 09:21:45.811000+00:00
7,14,3,13,7,19,4,11,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,1,1,0,1,1,0,0,0,1,88.40484938333334,0,FKID005788,Hosur Road,vehicle_breakdown,0,2023-11-10 19:23:34.823000+00:00
15,14,7,23,5,19,4,11,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,1,1,0,1,1,0,0,0,1,10.677372616666666,0,FKID005201,ORR North 2,vehicle_breakdown,0,2023-11-10 19:28:39.194000+00:00
11,14,5,1,0,19,4,11,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,1,0,1,1,1,0,13,0,0,,0,FKID005789,Non-corridor,vehicle_breakdown,0,2023-11-10 19:29:38.367000+00:00
11,14,5,16,0,19,4,11,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,1,0,1,1,1,1,14,0,0,,0,FKID005790,Non-corridor,vehicle_breakdown,0,2023-11-10 19:32:19.747000+00:00
11,2,0,12,10,19,4,11,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,1,0,1,0,0,2,15,0,0,,0,FKID004414,Non-corridor,accident,0,2023-11-10 19:35:55.391000+00:00
10,14,7,6,9,19,4,11,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,1,1,0,1,1,0,3,0,1,,0,FKID005776,Mysore Road,vehicle_breakdown,0,2023-11-10 19:40:53.937000+00:00
10,14,2,17,1,20,4,11,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1,1,0,1,1,1,4,0,1,35.16567031666667,0,FKID005791,Mysore Road,vehicle_breakdown,0,2023-11-10 20:01:00.064000+00:00
11,7,0,53,8,20,4,11,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1,0,1,0,1,3,16,0,0,3035.5120126333336,0,FKID005792,Non-corridor,pot_holes,0,2023-11-10 20:14:52.521000+00:00
18,14,5,11,0,20,4,11,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1,1,0,1,1,0,0,0,1,,0,FKID005793,Old Madras Road,vehicle_breakdown,0,2023-11-10 20:23:38.052000+00:00
14,7,0,27,4,20,4,11,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1,1,0,0,1,0,1,0,1,,0,FKID005794,ORR North 1,pot_holes,1,2023-11-10 20:32:11.301000+00:00
1,7,0,37,7,20,4,11,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1,0,0,0,1,0,1,0,1,4295.294638583333,0,FKID005795,Bannerghata Road,pot_holes,0,2023-11-10 20:59:16.139000+00:00
2,14,5,18,5,21,4,11,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0,1,0,1,1,0,2,0,1,,0,FKID004417,Bellary Road 1,vehicle_breakdown,0,2023-11-10 21:08:51.518000+00:00
8,7,0,0,7,21,4,11,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0,0,0,0,1,0,0,0,1,,0,FKID005796,IRR(Thanisandra road),pot_holes,1,2023-11-10 21:35:23.409000+00:00
7,14,6,33,7,21,4,11,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0,1,0,1,1,1,1,0,1,,0,FKID005800,Hosur Road,vehicle_breakdown,0,2023-11-10 21:44:33.093000+00:00
11,16,0,45,1,21,4,11,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0,0,1,0,1,4,16,0,0,,0,FKID004420,Non-corridor,water_logging,0,2023-11-10 21:52:20.377000+00:00
10,14,6,1,0,22,4,11,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0,1,0,1,1,2,5,1,1,,1,FKID005801,Mysore Road,vehicle_breakdown,0,2023-11-10 22:06:26.248000+00:00
8,11,0,0,7,22,4,11,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0,0,0,0,1,1,1,0,1,,0,FKID005802,IRR(Thanisandra road),road_conditions,1,2023-11-10 22:13:58.683000+00:00
7,14,1,21,7,23,4,11,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0,1,0,1,1,2,2,0,1,,0,FKID004423,Hosur Road,vehicle_breakdown,0,2023-11-10 23:11:01.862000+00:00
11,14,2,36,9,1,5,11,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0,0,1,1,1,1,14,0,0,71.16974789999999,0,FKID005807,Non-corridor,vehicle_breakdown,0,2023-11-11 01:11:03.087000+00:00
10,2,0,17,1,1,5,11,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0,1,0,0,1,1,4,0,1,,0,FKID005808,Mysore Road,accident,0,2023-11-11 01:42:40.316666+00:00
11,14,3,12,10,2,5,11,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,0,1,1,0,1,14,0,0,,0,FKID004129,Non-corridor,vehicle_breakdown,0,2023-11-11 02:08:05.186000+00:00
10,14,2,17,1,3,5,11,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0,1,0,1,1,1,4,0,1,43.43354016666667,0,FKID005809,Mysore Road,vehicle_breakdown,0,2023-11-11 03:45:53.353000+00:00
19,14,2,39,8,4,5,11,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,1,0,1,1,0,1,0,1,,0,FKID005810,Tumkur Road,vehicle_breakdown,0,2023-11-11 04:28:29.559000+00:00
11,6,0,13,10,4,5,11,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,0,1,0,0,2,13,0,0,31.145576100000003,0,FKID005811,Non-corridor,others,0,2023-11-11 04:31:20.436000+00:00
11,14,5,28,3,4,5,11,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,0,1,1,1,3,14,1,0,159.28904783333334,1,FKID005202,Non-corridor,vehicle_breakdown,0,2023-11-11 04:48:47.417000+00:00
14,14,5,3,4,4,5,11,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,1,0,1,1,0,1,0,1,91.35186411666668,0,FKID005812,ORR North 1,vehicle_breakdown,0,2023-11-11 04:50:51.264000+00:00
11,14,2,47,1,4,5,11,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,0,1,1,1,4,15,0,0,50.2345196,0,FKID005813,Non-corridor,vehicle_breakdown,0,2023-11-11 04:52:08.891000+00:00
1,14,2,37,7,5,5,11,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0,0,0,1,1,0,2,0,1,,0,FKID005803,Bannerghata Road,vehicle_breakdown,0,2023-11-11 05:04:31.225000+00:00
9,16,0,30,8,5,5,11,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0,1,0,0,1,0,0,0,1,,0,FKID005804,Magadi Road,water_logging,0,2023-11-11 05:23:33.592000+00:00
19,14,2,53,9,5,5,11,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0,1,0,1,1,1,2,0,1,30.345930816666662,0,FKID005814,Tumkur Road,vehicle_breakdown,0,2023-11-11 05:42:13.019000+00:00
1,14,5,22,7,5,5,11,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0,0,0,1,1,1,3,0,1,,0,FKID005815,Bannerghata Road,vehicle_breakdown,0,2023-11-11 05:45:47.779000+00:00
11,6,0,51,1,6,5,11,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,0,1,0,1,3,15,0,0,,0,FKID000002,Non-corridor,others,0,2023-11-11 06:18:03.343000+00:00
18,14,8,3,0,6,5,11,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,1,0,1,1,0,1,0,1,,0,FKID005816,Old Madras Road,vehicle_breakdown,0,2023-11-11 06:36:58.764000+00:00
16,14,7,29,6,7,5,11,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,1,1,0,1,1,0,0,0,1,,0,FKID005818,ORR West 1,vehicle_breakdown,0,2023-11-11 07:21:33.203000+00:00
3,14,9,52,5,7,5,11,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,1,1,0,1,1,0,0,0,1,,0,FKID004432,Bellary Road 2,vehicle_breakdown,0,2023-11-11 07:47:35.619000+00:00
11,16,0,30,8,8,5,11,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,1,0,1,0,1,4,13,1,0,,1,FKID004431,Non-corridor,water_logging,0,2023-11-11 08:18:43.877000+00:00
3,14,2,52,5,9,5,11,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,1,1,0,1,1,1,1,0,1,,0,FKID005819,Bellary Road 2,vehicle_breakdown,0,2023-11-11 09:32:11.936000+00:00
15,14,3,53,8,12,5,11,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,1,1,0,1,1,1,47.18853848333333,1,FKID004433,ORR North 2,vehicle_breakdown,0,2023-11-11 12:45:29.415000+00:00
3,14,4,52,4,12,5,11,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,1,1,1,2,0,1,,0,FKID005820,Bellary Road 2,vehicle_breakdown,0,2023-11-11 12:49:37.229000+00:00
15,14,3,23,5,13,5,11,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0,1,0,1,1,1,2,0,1,,0,FKID004436,ORR North 2,vehicle_breakdown,0,2023-11-11 13:48:52.769000+00:00
11,14,10,11,1,18,5,11,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1,0,1,1,1,0,12,0,0,,0,FKID005821,Non-corridor,vehicle_breakdown,0,2023-11-11 18:03:04.721000+00:00
11,4,0,44,1,18,5,11,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1,0,1,0,1,1,13,1,0,894.2096481499999,1,FKID005833,Non-corridor,construction,0,2023-11-11 18:05:46+00:00
10,14,2,17,1,19,5,11,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,1,1,0,1,1,0,5,0,1,99.41600825,0,FKID005823,Mysore Road,vehicle_breakdown,0,2023-11-11 19:12:42.988000+00:00
8,7,0,0,7,19,5,11,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,1,0,0,0,1,0,2,0,1,,0,FKID005824,IRR(Thanisandra road),pot_holes,1,2023-11-11 19:26:44.695000+00:00
11,14,3,12,10,20,5,11,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1,0,1,1,0,2,11,0,0,107.3207998,0,FKID005825,Non-corridor,vehicle_breakdown,0,2023-11-11 20:06:30.999000+00:00
20,14,5,14,2,20,5,11,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1,0,0,1,1,0,0,0,1,,0,FKID004447,Varthur Road,vehicle_breakdown,0,2023-11-11 20:18:30.254000+00:00
3,14,3,52,4,20,5,11,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1,1,0,1,1,0,3,0,1,,0,FKID005826,Bellary Road 2,vehicle_breakdown,0,2023-11-11 20:34:00.262000+00:00
2,14,7,18,5,20,5,11,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1,1,0,1,1,0,1,0,1,,0,FKID005203,Bellary Road 1,vehicle_breakdown,0,2023-11-11 20:34:18.844000+00:00
2,14,7,32,5,20,5,11,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1,1,0,1,1,1,2,0,1,84.78185871666666,0,FKID004440,Bellary Road 1,vehicle_breakdown,0,2023-11-11 20:39:07.208000+00:00
11,14,6,44,1,21,5,11,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0,0,1,1,1,3,11,0,0,44.53869965,0,FKID005827,Non-corridor,vehicle_breakdown,0,2023-11-11 21:01:05.939000+00:00
10,14,2,2,1,21,5,11,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0,1,0,1,1,1,4,1,0,,1,FKID005828,Mysore Road,vehicle_breakdown,0,2023-11-11 21:31:53.606000+00:00
11,14,3,51,1,21,5,11,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0,0,1,1,1,4,12,0,0,,0,FKID005829,Non-corridor,vehicle_breakdown,0,2023-11-11 21:37:27.149000+00:00
11,14,3,0,1,21,5,11,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0,0,1,1,1,5,13,0,0,,0,FKID005830,Non-corridor,vehicle_breakdown,0,2023-11-11 21:40:48.015000+00:00
2,14,8,43,9,21,5,11,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0,1,0,1,1,2,2,0,1,114.13534746666666,0,FKID005831,Bellary Road 1,vehicle_breakdown,0,2023-11-11 21:44:37.907000+00:00
11,11,0,50,2,21,5,11,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0,0,1,0,1,6,14,0,0,,0,FKID004444,Non-corridor,road_conditions,0,2023-11-11 21:47:37.254000+00:00
11,10,0,24,6,22,5,11,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0,0,1,0,1,6,14,1,0,420.0,1,FKID005805,Non-corridor,public_event,0,2023-11-11 22:05:46+00:00
11,14,8,16,0,23,5,11,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,0,0,1,1,1,6,15,0,0,,0,FKID005834,Non-corridor,vehicle_breakdown,0,2023-11-11 23:53:18.165000+00:00
11,14,3,28,3,0,6,11,0.0,1.0,-0.7818314824680299,0.6234898018587334,0,0,1,1,1,6,16,0,0,,0,FKID005835,Non-corridor,vehicle_breakdown,0,2023-11-12 00:08:44.659000+00:00
14,4,0,18,4,0,6,11,0.0,1.0,-0.7818314824680299,0.6234898018587334,0,1,0,0,1,0,1,0,1,301.00891666666666,0,FKID005836,ORR North 1,construction,0,2023-11-12 00:21:45.465000+00:00
2,14,6,41,5,0,6,11,0.0,1.0,-0.7818314824680299,0.6234898018587334,0,1,0,1,1,1,3,0,1,,0,FKID004453,Bellary Road 1,vehicle_breakdown,0,2023-11-12 00:53:56.008000+00:00
14,4,0,18,4,0,6,11,0.0,1.0,-0.7818314824680299,0.6234898018587334,0,1,0,0,1,1,2,0,1,68.28426666666665,0,FKID005837,ORR North 1,construction,0,2023-11-12 00:57:28.944000+00:00
3,14,2,52,5,0,6,11,0.0,1.0,-0.7818314824680299,0.6234898018587334,0,1,0,1,1,0,4,0,1,20.413769233333333,0,FKID005838,Bellary Road 2,vehicle_breakdown,0,2023-11-12 00:59:57.974000+00:00
11,14,2,47,1,2,6,11,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,1,1,3,16,0,0,52.04973218333334,0,FKID005839,Non-corridor,vehicle_breakdown,0,2023-11-12 02:02:26.448000+00:00
11,14,6,30,8,2,6,11,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,1,1,3,16,0,0,17.285524333333335,0,FKID005204,Non-corridor,vehicle_breakdown,0,2023-11-12 02:50:44.442000+00:00
18,2,0,3,0,3,6,11,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0,1,0,0,1,0,1,0,1,,0,FKID005840,Old Madras Road,accident,0,2023-11-12 03:16:46.877000+00:00
7,14,3,1,0,3,6,11,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0,1,0,1,1,0,0,0,1,,0,FKID005841,Hosur Road,vehicle_breakdown,0,2023-11-12 03:25:00.281000+00:00
11,14,2,7,1,3,6,11,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0,0,1,1,1,4,17,0,0,71.04905861666666,0,FKID005842,Non-corridor,vehicle_breakdown,0,2023-11-12 03:35:58.978000+00:00
18,14,3,3,0,3,6,11,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0,1,0,1,1,1,2,0,1,,0,FKID005843,Old Madras Road,vehicle_breakdown,0,2023-11-12 03:44:35.810000+00:00
11,14,3,31,10,3,6,11,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0,0,1,1,0,5,18,1,0,,1,FKID004130,Non-corridor,vehicle_breakdown,0,2023-11-12 03:47:11.073000+00:00
3,6,0,52,5,4,6,11,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,1,0,0,1,1,5,0,1,141.81894821666668,0,FKID005844,Bellary Road 2,others,0,2023-11-12 04:44:50.996000+00:00
2,14,6,41,5,4,6,11,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,1,0,1,1,0,4,0,1,,0,FKID004455,Bellary Road 1,vehicle_breakdown,0,2023-11-12 04:55:36.984000+00:00
19,14,2,53,9,5,6,11,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0,1,0,1,1,0,1,0,1,,0,FKID005845,Tumkur Road,vehicle_breakdown,0,2023-11-12 05:22:00.746000+00:00
10,14,7,6,9,6,6,11,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0,1,0,1,1,0,2,1,1,,1,FKID005846,Mysore Road,vehicle_breakdown,0,2023-11-12 06:38:48.097000+00:00
12,14,2,14,2,7,6,11,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1,1,0,1,1,0,0,0,1,,0,FKID005848,ORR East 1,vehicle_breakdown,0,2023-11-12 07:16:36.833000+00:00
2,2,0,41,5,8,6,11,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1,1,0,0,1,1,5,0,1,,0,FKID004459,Bellary Road 1,accident,0,2023-11-12 08:33:18.767000+00:00
11,2,0,31,8,10,6,11,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,1,0,1,0,14,0,0,,0,FKID004464,Non-corridor,accident,0,2023-11-12 10:00:46.584000+00:00
12,4,0,15,7,11,6,11,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0,1,0,0,1,0,1,1,1,,1,FKID005849,ORR East 1,construction,1,2023-11-12 11:53:33.116000+00:00
11,4,0,44,1,12,6,11,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,0,1,0,1,1,15,1,0,,1,FKID000894,Non-corridor,construction,0,2023-11-12 12:05:46+00:00
2,10,0,20,1,17,6,11,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1,1,0,0,1,0,6,1,1,1020.0,1,FKID004486,Bellary Road 1,public_event,0,2023-11-12 17:05:46+00:00
7,7,0,1,0,21,6,11,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0,1,0,0,1,0,1,0,1,,0,FKID005850,Hosur Road,pot_holes,1,2023-11-12 21:31:45.631000+00:00
